Geographic Area Name,Total Population,Total Population  - Uninsured,Total population - Uninsured %,Total population - Under 18,Under 18 - Uninsured,Under 18 - Uninsured %,Total Population - 18 to 64,Uninsured - 18 to 64,Uninsured % - 18 to 64,Total Population - 65+,Uninsured - 65+,Uninsured % - 65+,Total Population - 19 to 25,Uninsured- 19 to 25,Uninsured% - 19 to 25,Total Population - Male,Uninsured - Male,Uninsured % - Male,Total Population - Female,Uninsured - Female,Uninsured % - Female,Total Population - One Race,Uninsured - One Race,Uninsured % - One Race,Total Population - White,Uninsured - White,Uninsured % - White,Total Population - Black or African American,Uninsured - Black or African American,Uninsured % - Black or African American,Total Population - American Indian or Alaska Native,Uninsured - American Indian or Alaskan Native,Uninsured % - American Indian or Alaskan Native,Total Population - Asian,Uninsured - Asian,Uninsured % - Asian,Total Population - Native Hawaiian and Other Pacific Islander ,Uninsured - Native Hawaiian and Other Pacific Islander ,Uninsured % - Native Hawaiian and Other Pacific Islander ,Total Population - other race,Uninsured - other race,Uninsured % - other race,Total Population - 2 or more races,Uninsured - 2 or more races,Uninsured % - 2 or more races,Total Population - Native Born,Uninsured - Native Born,Uninsured % - Native Born,Total Population - Foreign Born,Uninsured - Foreign Born,Uninsured % - Foreign Born,Total Population - Naturalized,Uninsured - Naturalized,Uninsured % - Naturalized,Total Population - Not A Citizen,Uninsured - Not A Citizen,Uninsured % - Not A Citizen,Total Population - 25+,Uninsured  - 25+ ,Uninsured % - 25+,Total Population - Less than high school graduate,Uninsured  - Less than high school graduate ,Uninsured % - Less than high school graduate,Total Population - High School Graduate,Uninsured  - High School Graduate ,Uninsured % - High School Gradute,Total Population - Associate Degree,Uninsured  - Associate Degree ,Uninsured % - Associate Degree,Total Population - Bachelor's degree+,Uninsured  - Bachelor's Degree+ ,Uninsured % - Bachelor's Degree+,Total Population - 18+,Uninsured  - 18+ ,Uninsured % - 18+,Total Population - Labor Force,Uninsured  - Labor Force ,Uninsured % - Labor Force,Total Population - Employed,Uninsured  - Employed ,Uninsured % - Employed,Total Population - Unemployed,Uninsured  - Unemployed ,Uninsured % - Unemployed,Total Population - Not In Labor Force,Uninsured  - Not In Labor Force ,Uninsured % - Not In Labor Force,Total Population - Worked Full Time,Uninsured % - Worked Full Time,Uninsured - Part Time,Uninsured % - Part Time,Total Population - Not Working,Uninsured - Not Working,Uninsured % - Not Working,Total Population - Civilian Household,Uninsured - Civilian Household,Uninsured % - Civilian Household,Total Population - Income < $25000,Uninsured - Income < $25000,Uninsured % - Income < $25000,Total Population - Income between $25000 and $49999,Uninsured - Income between $25000 and $49999,Uninsured % - Income between $25000 and $49999,"Total Population - Income between $50,000 and $74,999","Uninsured- Income between $50,000 and $74,999","Uninsured%- Income between $50,000 and $74,999","Total Population - Income between $75,000 and $99,999","Uninsured - Income between $75,000 and $99,999","Uninsured % - Income between $75,000 and $99,999","Total Population - Income is $100,000 and over","Uninsured- Income is $100,000 and over","Uninsured %- Income is $100,000 and over",Total Population - Poverty Index,Uninsured - Poverty Index,Uninsured % - Poverty Index,Total Population - Poverty Threshold < 1.38,Uninsured - Poverty Threshold < 1.38,Uninsured % - Poverty Threshold < 1.38,Total Population - Poverty Threshold Between 1.38 and 1.99,Uninsured - Poverty Threshold Between 1.38 and 1.99,Uninsured% - Poverty Threshold Between 1.38 and 1.99,Total Population - Poverty Threshold > 2.0,Uninsured - Poverty Threshold > 2.0,Uninsured% - Poverty Threshold > 2.0
Georgia,9511663,1786930,18.8,2480742,245110,9.9,6014300,1530640,25.5,1016621,11180,1.1,925453,347294,37.5,4587295,933518,20.4,4924368,853412,17.3,9336261,1756210,18.8,5802526,917126,15.8,2879869,587022,20.4,24190,7589,31.4,316576,79769,25.2,4266,816,19.1,308834,163888,53.1,175402,30720,17.5,8583731,1353789,15.8,927932,433141,46.7,337122,77074,22.9,590810,356067,60.3,6086894,1216023,20,922817,333331,36.1,1753347,430771,24.6,1694078,311582,18.4,1716652,140339,8.2,7030921,1541820,21.9,4732776,1140190,24.1,4242320,873311,20.6,490456,266879,54.4,2298145,401630,17.5,3070278,16.2,573136,34.4,2296794,470138,20.5,9416378,1771510,18.8,1950146,591710,30.3,2219843,563521,25.4,1809003,317021,17.5,1244395,149395,12,2192991,149863,6.8,9409204,1775332,18.9,2402749,810469,33.7,1152199,315604,27.4,5854256,649259,11.1
Hawaii,1311430,91677,7,302758,9907,3.3,816498,79792,9.8,192174,1978,1,116588,17727,15.2,641592,52335,8.2,669838,39342,5.9,997365,72068,7.2,311086,26567,8.5,17038,1106,6.5,2658,235,8.8,520757,29475,5.7,131742,12850,9.8,14084,1835,13,314065,19609,6.2,1068548,66360,6.2,242882,25317,10.4,135624,8179,6,107258,17138,16,893834,65092,7.3,87267,8562,9.8,255095,22776,8.9,284835,21186,7.4,266637,12568,4.7,1008672,81770,8.1,681866,56659,8.3,637366,43487,6.8,44500,13172,29.6,326806,25111,7.7,448721,4.8,34156,13.8,313337,26291,8.4,1292359,89652,6.9,146032,18248,12.5,203552,21066,10.3,218586,15353,7,206643,12664,6.1,517546,22321,4.3,1299628,90941,7,208975,29469,14.1,118816,12319,10.4,971837,49153,5.1
Idaho,1547099,261207,16.9,425046,44949,10.6,929716,215635,23.2,192337,623,0.3,149158,46815,31.4,770881,135816,17.6,776218,125391,16.2,1508901,254639,16.9,1426878,230599,16.2,8531,1750,20.5,18800,6296,33.5,18908,3141,16.6,2212,358,16.2,33572,12495,37.2,38198,6568,17.2,1454055,219375,15.1,93044,41832,45,31245,6686,21.4,61799,35146,56.9,969862,171869,17.7,109034,39138,35.9,269851,58647,21.7,348956,56813,16.3,242021,17271,7.1,1122053,216258,19.3,749379,166283,22.2,687697,136301,19.8,61682,29982,48.6,372674,49975,13.4,450543,15.3,101222,30,333784,46259,13.9,1535519,259916,16.9,277064,75812,27.4,421713,96785,23,346195,49933,14.4,218339,20272,9.3,272208,17114,6.3,1533896,260088,17,367429,111090,30.2,224005,55593,24.8,942462,93405,9.9
Illinois,12641685,1632053,12.9,3108063,132201,4.3,7974559,1481144,18.6,1559063,18708,1.2,1218772,335951,27.6,6172562,908000,14.7,6469123,724053,11.2,12394335,1606063,13,9186219,962477,10.5,1800910,314520,17.5,25966,5053,19.5,592656,86926,14.7,2882,446,15.5,785702,236641,30.1,247350,25990,10.5,10885831,1071193,9.8,1755854,560860,31.9,795431,113873,14.3,960423,446987,46.5,8309072,1192758,14.4,1053436,309825,29.4,2248480,402504,17.9,2391143,313968,13.1,2616013,166461,6.4,9533622,1499852,15.7,6596918,1129619,17.1,5966951,861155,14.4,629967,268464,42.6,2936704,370233,12.6,4162198,11.5,577951,23.2,2875201,444962,15.5,12510724,1618961,12.9,2033194,441883,21.7,2577655,496080,19.2,2324402,311794,13.4,1840950,175045,9.5,3734523,194159,5.2,12512177,1624798,13,2535430,627427,24.7,1323021,281763,21.3,8653726,715608,8.3
Indiana,6384930,901006,14.1,1598390,141108,8.8,3975155,756240,19,811385,3658,0.5,626116,175451,28,3128248,477848,15.3,3256682,423158,13,6251606,880009,14.1,5429008,706019,13,559428,102592,18.3,14781,3419,23.1,102455,16393,16,1520,382,25.1,144414,51204,35.5,133324,20997,15.7,6089348,801713,13.2,295582,99293,33.6,102928,17275,16.8,192654,82018,42.6,4143875,595367,14.4,522729,140517,26.9,1464244,234492,16,1191234,165932,13.9,965668,54426,5.6,4786540,759898,15.9,3233088,583244,18,2939265,444496,15.1,293823,138748,47.2,1553452,176654,11.4,2020421,11.6,331300,25.3,1456848,194602,13.4,6293607,891868,14.2,1160398,278102,24,1560650,303831,19.5,1326971,167610,12.6,934188,72618,7.8,1311400,69707,5.3,6283101,892080,14.2,1375039,380654,27.7,766927,164565,21.5,4141135,346861,8.4
Iowa,3001335,262227,8.7,722915,31843,4.4,1847248,229020,12.4,431172,1364,0.3,296923,57356,19.3,1483079,143802,9.7,1518256,118425,7.8,2946180,255615,8.7,2753645,220728,8,84330,12289,14.6,9097,2139,23.5,54043,6514,12.1,1294,325,25.1,43771,13620,31.1,55155,6612,12,2870376,225871,7.9,130959,36356,27.8,49009,6186,12.6,81950,30170,36.8,1972888,177007,9,177203,34005,19.2,649082,66372,10.2,640165,59036,9.2,506438,17594,3.5,2278420,230384,10.1,1613624,184814,11.5,1527793,153907,10.1,85831,30907,36,664796,45570,6.9,1069910,7.8,103081,16.5,583551,43318,7.4,2945762,258999,8.8,475186,76299,16.1,695688,92913,13.4,649029,48840,7.5,475318,20553,4.3,650541,20394,3.1,2946040,259223,8.8,554020,106331,19.2,337831,49432,14.6,2054189,103460,5
Kansas,2791851,352636,12.6,720148,53041,7.4,1712319,297821,17.4,359384,1774,0.5,276560,70520,25.5,1373515,186529,13.6,1418336,166107,11.7,2705467,339734,12.6,2390539,272315,11.4,154886,27940,18,22616,5748,25.4,67964,9298,13.7,1445,405,28,68017,24028,35.3,86384,12902,14.9,2607655,281820,10.8,184196,70816,38.4,62257,10585,17,121939,60231,49.4,1789897,233715,13.1,179423,52918,29.5,493711,81185,16.4,572689,74073,12.9,544074,25539,4.7,2071703,299595,14.5,1465563,236194,16.1,1371264,191040,13.9,94299,45154,47.9,606140,63401,10.5,981719,10.7,131651,24.2,545297,62680,11.5,2758248,349351,12.7,458242,109361,23.9,661227,125690,19,573079,61680,10.8,415606,27123,6.5,650094,25497,3.9,2753601,349298,12.7,561293,155116,27.6,327726,66127,20.2,1864582,128055,6.9
Kentucky,4251528,600645,14.1,1019082,61805,6.1,2672552,536990,20.1,559894,1850,0.3,393052,123242,31.4,2071991,317836,15.3,2179537,282809,13,4178625,590489,14.1,3757446,505153,13.4,320570,58661,18.3,8023,1785,22.2,49113,7254,14.8,2255,511,22.7,41218,17125,41.5,72903,10156,13.9,4114332,552722,13.4,137196,47923,34.9,46209,8092,17.5,90987,39831,43.8,2830321,422442,14.9,487489,104819,21.5,961505,174048,18.1,777733,112009,14.4,603594,31566,5.2,3232446,538840,16.7,2022012,383754,19,1836986,288419,15.7,185026,95335,51.5,1210434,155086,12.8,1292237,11.8,222621,28.4,1155209,163986,14.2,4202341,592610,14.1,1003632,231074,23,1054020,193403,18.3,815368,94590,11.6,551521,38602,7,777800,34941,4.5,4197691,596294,14.2,1124070,292675,26,525094,104243,19.9,2548527,199376,7.8
Louisiana,4425335,762016,17.2,1113067,68671,6.2,2770754,689880,24.9,541514,3465,0.6,455461,153687,33.7,2135739,387560,18.1,2289596,374456,16.4,4356765,751382,17.2,2807080,397347,14.2,1400565,305587,21.8,28104,7196,25.6,70929,18955,26.7,1737,448,25.8,48350,21849,45.2,68570,10634,15.5,4262210,689867,16.2,163125,72149,44.2,67001,15729,23.5,96124,56420,58.7,2853835,550395,19.3,491807,143929,29.3,977693,222343,22.7,761714,139637,18.3,622621,44486,7.1,3312268,693345,20.9,2147615,513336,23.9,1973474,418581,21.2,174141,94755,54.4,1164653,180009,15.5,1431703,17.7,256418,33.1,1105566,183000,16.6,4388715,755659,17.2,1016801,255542,25.1,1045448,233357,22.3,782122,129121,16.5,585838,65641,11.2,958506,71998,7.5,4387164,757408,17.3,1184217,323305,27.3,536781,124720,23.2,2666166,309383,11.6
Maine,1314102,134501,10.2,273379,14195,5.2,834608,119918,14.4,206115,388,0.2,109545,23601,21.5,641568,77865,12.1,672534,56636,8.4,1290951,132082,10.2,1252490,126999,10.1,13916,1204,8.7,7012,1131,16.1,13935,2268,16.3,280,14,5,3318,466,14,23151,2419,10.4,1270376,129487,10.2,43726,5014,11.5,24351,1783,7.3,19375,3231,16.7,925503,98191,10.6,85231,10891,12.8,315680,43476,13.8,269417,29690,11,255175,14134,5.5,1040723,120306,11.6,691281,99205,14.4,641756,82286,12.8,49525,16919,34.2,349442,21101,6,426752,10.3,57269,19.3,316623,19226,6.1,1291073,132590,10.3,233682,30390,13,319770,46474,14.5,277253,29835,10.8,192585,13387,7,267783,12504,4.7,1291098,133171,10.3,267379,39069,14.6,156538,24497,15.6,867181,69605,8
Maryland,5686615,609773,10.7,1348511,62094,4.6,3646011,539724,14.8,692093,7955,1.1,541342,124049,22.9,2729257,336664,12.3,2957358,273109,9.2,5536158,594682,10.7,3355659,276166,8.2,1659832,197810,11.9,16762,3410,20.3,321356,42302,13.2,2052,110,5.4,180497,74884,41.5,150457,15091,10,4895284,381163,7.8,791331,228610,28.9,360525,43599,12.1,430806,185011,42.9,3796370,433714,11.4,427524,118166,27.6,982952,147365,15,993337,102118,10.3,1392557,66065,4.7,4338104,547679,12.6,3125175,431632,13.8,2891688,341632,11.8,233487,90000,38.5,1212929,116047,9.6,2127409,9.3,215093,20.5,1163713,135329,11.6,5621984,604130,10.7,613205,106661,17.4,879365,154217,17.5,943979,131953,14,812215,80509,9.9,2373220,130790,5.5,5621696,606134,10.8,782507,177473,22.7,468353,96897,20.7,4370836,331764,7.6
Massachusetts,6479196,259871,4,1413471,21321,1.5,4194593,235750,5.6,871132,2800,0.3,660814,55283,8.4,3128445,161067,5.1,3350751,98804,2.9,6312889,248005,3.9,5246850,176845,3.4,436695,28955,6.6,12580,1226,9.7,356479,14817,4.2,1544,43,2.8,258741,26119,10.1,166307,11866,7.1,5514984,170585,3.1,964212,89286,9.3,480111,19297,4,484101,69989,14.5,4394883,188416,4.3,465187,38083,8.2,1127287,70323,6.2,1070992,46272,4.3,1731417,33738,1.9,5065725,238550,4.7,3546524,194286,5.5,3258185,150333,4.6,288339,43953,15.2,1519201,44264,2.9,2195830,3.7,107385,7.4,1416775,50079,3.5,6311776,254433,4,867240,49495,5.7,1007084,66382,6.6,1000880,53288,5.3,907634,36396,4,2528938,48872,1.9,6328201,256036,4,1021169,76593,7.5,511189,36396,7.1,4795843,143047,3
Michigan,9782012,1128261,11.5,2334434,100053,4.3,6114253,1023105,16.7,1333325,5103,0.4,933747,241324,25.8,4776077,628728,13.2,5005935,499533,10,9551253,1102421,11.5,7782597,822217,10.6,1352374,209117,15.5,54612,10788,19.8,245001,28136,11.5,2600,628,24.2,114069,31535,27.6,230759,25840,11.2,9188106,1000238,10.9,593906,128023,21.6,293978,39457,13.4,299928,88566,29.5,6480097,805456,12.4,717594,139818,19.5,1977462,306012,15.5,2112167,270465,12.8,1672874,89161,5.3,7447578,1028208,13.8,4803906,804196,16.7,4218717,570826,13.5,585189,233370,39.9,2643672,224012,8.5,2747133,9.9,464775,22.3,2612959,292136,11.2,9662534,1112283,11.5,1926632,374466,19.4,2284052,356174,15.6,1892077,193470,10.2,1348540,93342,6.9,2211233,94831,4.3,9671967,1121623,11.6,2254986,486911,21.6,1092979,193918,17.7,6324002,440794,7
Minnesota,5253764,454463,8.7,1278246,78449,6.1,3316728,373952,11.3,658790,2062,0.3,497245,94423,19,2604024,259553,10,2649740,194910,7.4,5130717,440160,8.6,4524068,338477,7.5,263740,40774,15.5,54702,12639,23.1,215581,23060,10.7,2057,411,20,70569,24799,35.1,123047,14303,11.6,4874103,366615,7.5,379661,87848,23.1,169725,17917,10.6,209936,69931,33.3,3473589,287151,8.3,272488,51711,19,935265,96760,10.3,1134979,98101,8.6,1130857,40579,3.6,3975518,376014,9.5,2894674,313352,10.8,2699786,256128,9.5,194888,57224,29.4,1080844,62662,5.8,1827167,7.4,176106,15,974385,64833,6.7,5174316,451454,8.7,706772,101073,14.3,1026821,149507,14.6,1020584,97794,9.6,850873,50102,5.9,1569266,52978,3.4,5188275,451778,8.7,882660,154202,17.5,500792,84601,16.9,3804823,212975,5.6
