FIPS Code,State/Area,year,Month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Area_Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Unemployment_rate
41,Oregon,2016,1,"3,249,240   ","2,020,991   ",62.2,"1,921,114   ",59.1,"99,877   ",4.9
42,Pennsylvania,2016,1,"10,225,383   ","6,467,536   ",63.2,"6,126,634   ",59.9,"340,902   ",5.3
44,Rhode Island,2016,1,"857,229   ","552,571   ",64.5,"521,873   ",60.9,"30,698   ",5.6
45,South Carolina,2016,1,"3,858,504   ","2,285,355   ",59.2,"2,163,254   ",56.1,"122,101   ",5.3
46,South Dakota,2016,1,"651,545   ","454,613   ",69.8,"441,752   ",67.8,"12,861   ",2.8
47,Tennessee,2016,1,"5,188,358   ","3,105,686   ",59.9,"2,957,506   ",57.0,"148,180   ",4.8
48,Texas,2016,1,"20,729,955   ","13,224,910   ",63.8,"12,635,778   ",61.0,"589,132   ",4.5
49,Utah,2016,1,"2,168,291   ","1,478,801   ",68.2,"1,426,877   ",65.8,"51,924   ",3.5
50,Vermont,2016,1,"515,143   ","345,245   ",67.0,"334,036   ",64.8,"11,209   ",3.2
51,Virginia,2016,1,"6,523,006   ","4,232,843   ",64.9,"4,065,106   ",62.3,"167,737   ",4.0
53,Washington,2016,1,"5,679,860   ","3,610,474   ",63.6,"3,415,138   ",60.1,"195,336   ",5.4
54,West Virginia,2016,1,"1,477,257   ","789,352   ",53.4,"739,186   ",50.0,"50,166   ",6.4
55,Wisconsin,2016,1,"4,556,269   ","3,105,263   ",68.2,"2,977,051   ",65.3,"128,212   ",4.1
56,Wyoming,2016,1,"451,394   ","301,853   ",66.9,"286,696   ",63.5,"15,157   ",5.0
1,Alabama,2016,2,"3,810,043   ","2,143,456   ",56.3,"2,014,380   ",52.9,"129,076   ",6.0
2,Alaska,2016,2,"545,399   ","362,043   ",66.4,"338,619   ",62.1,"23,424   ",6.5
4,Arizona,2016,2,"5,343,405   ","3,227,960   ",60.4,"3,046,025   ",57.0,"181,935   ",5.6
5,Arkansas,2016,2,"2,306,995   ","1,345,263   ",58.3,"1,289,972   ",55.9,"55,291   ",4.1
6,California,2016,2,"30,467,943   ","18,941,962   ",62.2,"17,875,645   ",58.7,"1,066,317   ",5.6
37,Los Angeles County,2016,2,"8,023,866   ","4,983,669   ",62.1,"4,708,465   ",58.7,"275,204   ",5.5
8,Colorado,2016,2,"4,290,525   ","2,870,218   ",66.9,"2,775,432   ",64.7,"94,786   ",3.3
9,Connecticut,2016,2,"2,873,720   ","1,886,939   ",65.7,"1,789,442   ",62.3,"97,497   ",5.2
10,Delaware,2016,2,"751,256   ","468,905   ",62.4,"447,972   ",59.6,"20,933   ",4.5
11,District of Columbia,2016,2,"562,342   ","393,390   ",70.0,"368,673   ",65.6,"24,717   ",6.3
12,Florida,2016,2,"16,486,036   ","9,763,853   ",59.2,"9,274,276   ",56.3,"489,577   ",5.0
13,Georgia,2016,2,"7,838,741   ","4,756,401   ",60.7,"4,487,435   ",57.2,"268,966   ",5.7
15,Hawaii,2016,2,"1,091,817   ","676,234   ",61.9,"655,874   ",60.1,"20,360   ",3.0
16,Idaho,2016,2,"1,263,122   ","807,148   ",63.9,"776,822   ",61.5,"30,326   ",3.8
17,Illinois,2016,2,"10,049,562   ","6,590,470   ",65.6,"6,180,514   ",61.5,"409,956   ",6.2
18,Indiana,2016,2,"5,135,638   ","3,332,857   ",64.9,"3,178,012   ",61.9,"154,845   ",4.6
19,Iowa,2016,2,"2,438,141   ","1,710,383   ",70.2,"1,648,419   ",67.6,"61,964   ",3.6
20,Kansas,2016,2,"2,210,999   ","1,497,789   ",67.7,"1,438,855   ",65.1,"58,934   ",3.9
21,Kentucky,2016,2,"3,453,453   ","2,000,307   ",57.9,"1,897,358   ",54.9,"102,949   ",5.1
22,Louisiana,2016,2,"3,579,257   ","2,134,491   ",59.6,"2,005,278   ",56.0,"129,213   ",6.1
23,Maine,2016,2,"1,093,136   ","689,398   ",63.1,"662,178   ",60.6,"27,220   ",3.9
24,Maryland,2016,2,"4,708,745   ","3,146,807   ",66.8,"3,007,840   ",63.9,"138,967   ",4.4
25,Massachusetts,2016,2,"5,528,649   ","3,598,443   ",65.1,"3,443,921   ",62.3,"154,522   ",4.3
26,Michigan,2016,2,"7,903,525   ","4,820,513   ",61.0,"4,582,714   ",58.0,"237,799   ",4.9
27,Minnesota,2016,2,"4,304,127   ","3,024,171   ",70.3,"2,909,497   ",67.6,"114,674   ",3.8
28,Mississippi,2016,2,"2,282,748   ","1,271,510   ",55.7,"1,192,863   ",52.3,"78,647   ",6.2
29,Missouri,2016,2,"4,747,477   ","3,070,971   ",64.7,"2,934,662   ",61.8,"136,309   ",4.4
30,Montana,2016,2,"820,356   ","521,898   ",63.6,"499,113   ",60.8,"22,785   ",4.4
31,Nebraska,2016,2,"1,448,030   ","1,018,720   ",70.4,"988,278   ",68.2,"30,442   ",3.0
32,Nevada,2016,2,"2,262,476   ","1,407,222   ",62.2,"1,320,668   ",58.4,"86,554   ",6.2
33,New Hampshire,2016,2,"1,094,375   ","750,386   ",68.6,"728,939   ",66.6,"21,447   ",2.9
34,New Jersey,2016,2,"7,022,663   ","4,500,079   ",64.1,"4,275,593   ",60.9,"224,486   ",5.0
35,New Mexico,2016,2,"1,615,226   ","941,120   ",58.3,"879,654   ",54.5,"61,466   ",6.5
36,New York,2016,2,"15,726,185   ","9,553,707   ",60.8,"9,092,674   ",57.8,"461,033   ",4.8
51000,New York city,2016,2,"6,808,046   ","4,082,937   ",60.0,"3,871,026   ",56.9,"211,911   ",5.2
37,North Carolina,2016,2,"7,866,350   ","4,819,869   ",61.3,"4,568,181   ",58.1,"251,688   ",5.2
38,North Dakota,2016,2,"581,393   ","411,741   ",70.8,"398,708   ",68.6,"13,033   ",3.2
39,Ohio,2016,2,"9,145,329   ","5,754,850   ",62.9,"5,466,498   ",59.8,"288,352   ",5.0
40,Oklahoma,2016,2,"2,984,249   ","1,833,389   ",61.4,"1,750,363   ",58.7,"83,026   ",4.5
41,Oregon,2016,2,"3,254,767   ","2,028,181   ",62.3,"1,928,738   ",59.3,"99,443   ",4.9
42,Pennsylvania,2016,2,"10,225,863   ","6,473,118   ",63.3,"6,130,276   ",59.9,"342,842   ",5.3
44,Rhode Island,2016,2,"857,372   ","552,733   ",64.5,"522,325   ",60.9,"30,408   ",5.5
45,South Carolina,2016,2,"3,863,574   ","2,288,411   ",59.2,"2,167,393   ",56.1,"121,018   ",5.3
46,South Dakota,2016,2,"652,093   ","454,907   ",69.8,"442,042   ",67.8,"12,865   ",2.8
47,Tennessee,2016,2,"5,192,499   ","3,111,657   ",59.9,"2,965,602   ",57.1,"146,055   ",4.7
48,Texas,2016,2,"20,761,195   ","13,252,003   ",63.8,"12,662,766   ",61.0,"589,237   ",4.4
49,Utah,2016,2,"2,172,793   ","1,483,530   ",68.3,"1,431,601   ",65.9,"51,929   ",3.5
50,Vermont,2016,2,"515,166   ","345,423   ",67.1,"334,400   ",64.9,"11,023   ",3.2
51,Virginia,2016,2,"6,525,781   ","4,234,522   ",64.9,"4,068,700   ",62.3,"165,822   ",3.9
53,Washington,2016,2,"5,688,716   ","3,621,594   ",63.7,"3,426,657   ",60.2,"194,937   ",5.4
54,West Virginia,2016,2,"1,476,646   ","789,436   ",53.5,"739,332   ",50.1,"50,104   ",6.3
55,Wisconsin,2016,2,"4,557,711   ","3,108,750   ",68.2,"2,981,909   ",65.4,"126,841   ",4.1
56,Wyoming,2016,2,"451,385   ","302,351   ",67.0,"286,294   ",63.4,"16,057   ",5.3
1,Alabama,2016,3,"3,811,375   ","2,146,821   ",56.3,"2,018,777   ",53.0,"128,044   ",6.0
2,Alaska,2016,3,"545,610   ","362,120   ",66.4,"338,578   ",62.1,"23,542   ",6.5
4,Arizona,2016,3,"5,352,249   ","3,234,359   ",60.4,"3,053,620   ",57.1,"180,739   ",5.6
5,Arkansas,2016,3,"2,308,015   ","1,345,319   ",58.3,"1,290,874   ",55.9,"54,445   ",4.0
6,California,2016,3,"30,489,297   ","18,959,258   ",62.2,"17,901,022   ",58.7,"1,058,236   ",5.6
37,Los Angeles County,2016,3,"8,027,345   ","4,991,086   ",62.2,"4,720,610   ",58.8,"270,476   ",5.4
8,Colorado,2016,3,"4,297,576   ","2,876,122   ",66.9,"2,781,378   ",64.7,"94,744   ",3.3
9,Connecticut,2016,3,"2,873,702   ","1,888,081   ",65.7,"1,792,129   ",62.4,"95,952   ",5.1
10,Delaware,2016,3,"751,898   ","468,851   ",62.4,"448,073   ",59.6,"20,778   ",4.4
11,District of Columbia,2016,3,"562,958   ","393,876   ",70.0,"369,514   ",65.6,"24,362   ",6.2
12,Florida,2016,3,"16,514,110   ","9,777,290   ",59.2,"9,292,824   ",56.3,"484,466   ",5.0
13,Georgia,2016,3,"7,849,068   ","4,796,311   ",61.1,"4,529,480   ",57.7,"266,831   ",5.6
15,Hawaii,2016,3,"1,091,983   ","676,608   ",62.0,"656,314   ",60.1,"20,294   ",3.0
16,Idaho,2016,3,"1,265,474   ","808,719   ",63.9,"778,561   ",61.5,"30,158   ",3.7
17,Illinois,2016,3,"10,048,662   ","6,593,404   ",65.6,"6,185,600   ",61.6,"407,804   ",6.2
18,Indiana,2016,3,"5,138,247   ","3,337,674   ",65.0,"3,183,002   ",61.9,"154,672   ",4.6
19,Iowa,2016,3,"2,438,939   ","1,710,050   ",70.1,"1,648,133   ",67.6,"61,917   ",3.6
20,Kansas,2016,3,"2,211,607   ","1,496,952   ",67.7,"1,438,043   ",65.0,"58,909   ",3.9
21,Kentucky,2016,3,"3,454,600   ","2,002,784   ",58.0,"1,901,323   ",55.0,"101,461   ",5.1
22,Louisiana,2016,3,"3,580,477   ","2,133,521   ",59.6,"2,004,061   ",56.0,"129,460   ",6.1
23,Maine,2016,3,"1,093,359   ","690,787   ",63.2,"663,837   ",60.7,"26,950   ",3.9
24,Maryland,2016,3,"4,709,564   ","3,146,772   ",66.8,"3,009,911   ",63.9,"136,861   ",4.3
25,Massachusetts,2016,3,"5,531,634   ","3,601,685   ",65.1,"3,450,057   ",62.4,"151,628   ",4.2
26,Michigan,2016,3,"7,906,243   ","4,829,629   ",61.1,"4,590,535   ",58.1,"239,094   ",5.0
27,Minnesota,2016,3,"4,307,033   ","3,023,055   ",70.2,"2,908,446   ",67.5,"114,609   ",3.8
28,Mississippi,2016,3,"2,283,174   ","1,270,710   ",55.7,"1,193,455   ",52.3,"77,255   ",6.1
29,Missouri,2016,3,"4,748,932   ","3,072,852   ",64.7,"2,936,300   ",61.8,"136,552   ",4.4
30,Montana,2016,3,"821,079   ","521,936   ",63.6,"499,124   ",60.8,"22,812   ",4.4
31,Nebraska,2016,3,"1,448,888   ","1,018,855   ",70.3,"988,365   ",68.2,"30,490   ",3.0
32,Nevada,2016,3,"2,265,948   ","1,408,473   ",62.2,"1,323,153   ",58.4,"85,320   ",6.1
33,New Hampshire,2016,3,"1,095,038   ","751,461   ",68.6,"730,123   ",66.7,"21,338   ",2.8
34,New Jersey,2016,3,"7,023,720   ","4,500,037   ",64.1,"4,275,290   ",60.9,"224,747   ",5.0
35,New Mexico,2016,3,"1,615,641   ","941,995   ",58.3,"880,148   ",54.5,"61,847   ",6.6
36,New York,2016,3,"15,726,450   ","9,545,384   ",60.7,"9,086,193   ",57.8,"459,191   ",4.8
51000,New York city,2016,3,"6,809,006   ","4,079,641   ",59.9,"3,869,320   ",56.8,"210,321   ",5.2
37,North Carolina,2016,3,"7,875,695   ","4,826,578   ",61.3,"4,577,708   ",58.1,"248,870   ",5.2
38,North Dakota,2016,3,"581,200   ","411,888   ",70.9,"398,605   ",68.6,"13,283   ",3.2
39,Ohio,2016,3,"9,147,631   ","5,759,537   ",63.0,"5,471,393   ",59.8,"288,144   ",5.0
40,Oklahoma,2016,3,"2,985,654   ","1,832,699   ",61.4,"1,748,627   ",58.6,"84,072   ",4.6
41,Oregon,2016,3,"3,260,421   ","2,033,640   ",62.4,"1,934,161   ",59.3,"99,479   ",4.9
42,Pennsylvania,2016,3,"10,226,626   ","6,474,416   ",63.3,"6,129,729   ",59.9,"344,687   ",5.3
44,Rhode Island,2016,3,"857,509   ","552,908   ",64.5,"522,805   ",61.0,"30,103   ",5.4
45,South Carolina,2016,3,"3,868,847   ","2,289,534   ",59.2,"2,170,026   ",56.1,"119,508   ",5.2
46,South Dakota,2016,3,"652,588   ","455,081   ",69.7,"442,131   ",67.8,"12,950   ",2.8
47,Tennessee,2016,3,"5,196,802   ","3,116,195   ",60.0,"2,971,290   ",57.2,"144,905   ",4.7
48,Texas,2016,3,"20,792,661   ","13,275,533   ",63.8,"12,683,175   ",61.0,"592,358   ",4.5
49,Utah,2016,3,"2,177,280   ","1,487,708   ",68.3,"1,435,988   ",66.0,"51,720   ",3.5
50,Vermont,2016,3,"515,178   ","345,578   ",67.1,"334,690   ",65.0,"10,888   ",3.2
51,Virginia,2016,3,"6,528,060   ","4,235,332   ",64.9,"4,070,935   ",62.4,"164,397   ",3.9
53,Washington,2016,3,"5,697,581   ","3,630,389   ",63.7,"3,436,155   ",60.3,"194,234   ",5.4
54,West Virginia,2016,3,"1,476,039   ","788,767   ",53.4,"739,023   ",50.1,"49,744   ",6.3
55,Wisconsin,2016,3,"4,559,314   ","3,110,352   ",68.2,"2,984,977   ",65.5,"125,375   ",4.0
56,Wyoming,2016,3,"451,294   ","302,567   ",67.0,"285,818   ",63.3,"16,749   ",5.5
1,Alabama,2016,4,"3,812,782   ","2,149,261   ",56.4,"2,022,346   ",53.0,"126,915   ",5.9
2,Alaska,2016,4,"545,942   ","362,119   ",66.3,"338,457   ",62.0,"23,662   ",6.5
4,Arizona,2016,4,"5,361,241   ","3,239,833   ",60.4,"3,059,997   ",57.1,"179,836   ",5.6
5,Arkansas,2016,4,"2,309,079   ","1,344,939   ",58.2,"1,291,027   ",55.9,"53,912   ",4.0
6,California,2016,4,"30,512,396   ","18,973,207   ",62.2,"17,921,613   ",58.7,"1,051,594   ",5.5
37,Los Angeles County,2016,4,"8,031,060   ","4,998,754   ",62.2,"4,731,988   ",58.9,"266,766   ",5.3
8,Colorado,2016,4,"4,304,871   ","2,880,932   ",66.9,"2,786,260   ",64.7,"94,672   ",3.3
9,Connecticut,2016,4,"2,873,785   ","1,889,305   ",65.7,"1,794,839   ",62.5,"94,466   ",5.0
10,Delaware,2016,4,"752,531   ","468,680   ",62.3,"447,969   ",59.5,"20,711   ",4.4
11,District of Columbia,2016,4,"563,589   ","394,058   ",69.9,"369,933   ",65.6,"24,125   ",6.1
12,Florida,2016,4,"16,542,894   ","9,790,156   ",59.2,"9,309,537   ",56.3,"480,619   ",4.9
13,Georgia,2016,4,"7,859,831   ","4,833,906   ",61.5,"4,568,888   ",58.1,"265,018   ",5.5
15,Hawaii,2016,4,"1,092,461   ","676,978   ",62.0,"656,743   ",60.1,"20,235   ",3.0
16,Idaho,2016,4,"1,267,849   ","810,104   ",63.9,"780,076   ",61.5,"30,028   ",3.7
17,Illinois,2016,4,"10,048,172   ","6,589,117   ",65.6,"6,186,891   ",61.6,"402,226   ",6.1
18,Indiana,2016,4,"5,140,915   ","3,339,764   ",65.0,"3,186,380   ",62.0,"153,384   ",4.6
19,Iowa,2016,4,"2,439,789   ","1,708,496   ",70.0,"1,646,486   ",67.5,"62,010   ",3.6
20,Kansas,2016,4,"2,212,288   ","1,495,476   ",67.6,"1,436,383   ",64.9,"59,093   ",4.0
21,Kentucky,2016,4,"3,455,877   ","2,005,178   ",58.0,"1,905,194   ",55.1,"99,984   ",5.0
22,Louisiana,2016,4,"3,581,804   ","2,131,830   ",59.5,"2,002,097   ",55.9,"129,733   ",6.1
23,Maine,2016,4,"1,093,632   ","691,999   ",63.3,"665,340   ",60.8,"26,659   ",3.9
24,Maryland,2016,4,"4,710,558   ","3,146,561   ",66.8,"3,011,264   ",63.9,"135,297   ",4.3
25,Massachusetts,2016,4,"5,534,696   ","3,604,987   ",65.1,"3,456,132   ",62.4,"148,855   ",4.1
26,Michigan,2016,4,"7,909,088   ","4,836,910   ",61.2,"4,596,471   ",58.1,"240,439   ",5.0
27,Minnesota,2016,4,"4,310,025   ","3,021,085   ",70.1,"2,906,473   ",67.4,"114,612   ",3.8
28,Mississippi,2016,4,"2,283,610   ","1,269,674   ",55.6,"1,193,563   ",52.3,"76,111   ",6.0
29,Missouri,2016,4,"4,750,527   ","3,074,491   ",64.7,"2,936,456   ",61.8,"138,035   ",4.5
30,Montana,2016,4,"821,797   ","521,820   ",63.5,"499,039   ",60.7,"22,781   ",4.4
31,Nebraska,2016,4,"1,449,875   ","1,018,474   ",70.2,"987,872   ",68.1,"30,602   ",3.0
32,Nevada,2016,4,"2,269,583   ","1,409,538   ",62.1,"1,325,445   ",58.4,"84,093   ",6.0
33,New Hampshire,2016,4,"1,095,714   ","752,291   ",68.7,"730,870   ",66.7,"21,421   ",2.8
34,New Jersey,2016,4,"7,024,923   ","4,498,429   ",64.0,"4,273,344   ",60.8,"225,085   ",5.0
35,New Mexico,2016,4,"1,616,176   ","942,848   ",58.3,"880,344   ",54.5,"62,504   ",6.6
36,New York,2016,4,"15,726,994   ","9,533,668   ",60.6,"9,075,462   ",57.7,"458,206   ",4.8
51000,New York city,2016,4,"6,810,232   ","4,076,666   ",59.9,"3,867,577   ",56.8,"209,089   ",5.1
37,North Carolina,2016,4,"7,885,404   ","4,830,974   ",61.3,"4,584,798   ",58.1,"246,176   ",5.1
38,North Dakota,2016,4,"581,125   ","412,015   ",70.9,"398,635   ",68.6,"13,380   ",3.2
39,Ohio,2016,4,"9,150,016   ","5,759,108   ",62.9,"5,472,521   ",59.8,"286,587   ",5.0
40,Oklahoma,2016,4,"2,987,151   ","1,831,282   ",61.3,"1,746,117   ",58.5,"85,165   ",4.7
41,Oregon,2016,4,"3,266,109   ","2,037,655   ",62.4,"1,937,802   ",59.3,"99,853   ",4.9
42,Pennsylvania,2016,4,"10,227,506   ","6,472,917   ",63.3,"6,126,458   ",59.9,"346,459   ",5.4
44,Rhode Island,2016,4,"857,661   ","553,110   ",64.5,"523,270   ",61.0,"29,840   ",5.4
45,South Carolina,2016,4,"3,874,450   ","2,289,095   ",59.1,"2,171,385   ",56.0,"117,710   ",5.1
46,South Dakota,2016,4,"653,120   ","455,173   ",69.7,"442,044   ",67.7,"13,129   ",2.9
47,Tennessee,2016,4,"5,201,269   ","3,120,756   ",60.0,"2,975,759   ",57.2,"144,997   ",4.6
48,Texas,2016,4,"20,825,236   ","13,297,832   ",63.9,"12,698,126   ",61.0,"599,706   ",4.5
49,Utah,2016,4,"2,181,885   ","1,491,391   ",68.4,"1,440,100   ",66.0,"51,291   ",3.4
50,Vermont,2016,4,"515,160   ","345,690   ",67.1,"334,876   ",65.0,"10,814   ",3.1
51,Virginia,2016,4,"6,531,334   ","4,236,772   ",64.9,"4,072,587   ",62.4,"164,185   ",3.9
53,Washington,2016,4,"5,706,896   ","3,637,282   ",63.7,"3,443,618   ",60.3,"193,664   ",5.3
54,West Virginia,2016,4,"1,475,441   ","787,459   ",53.4,"738,270   ",50.0,"49,189   ",6.2
55,Wisconsin,2016,4,"4,560,930   ","3,110,891   ",68.2,"2,986,761   ",65.5,"124,130   ",4.0
56,Wyoming,2016,4,"451,233   ","302,403   ",67.0,"285,301   ",63.2,"17,102   ",5.7
1,Alabama,2016,5,"3,814,145   ","2,151,573   ",56.4,"2,025,350   ",53.1,"126,223   ",5.9
2,Alaska,2016,5,"546,309   ","362,119   ",66.3,"338,314   ",61.9,"23,805   ",6.6
4,Arizona,2016,5,"5,370,157   ","3,245,197   ",60.4,"3,065,928   ",57.1,"179,269   ",5.5
5,Arkansas,2016,5,"2,310,084   ","1,344,591   ",58.2,"1,290,913   ",55.9,"53,678   ",4.0
6,California,2016,5,"30,534,603   ","18,989,520   ",62.2,"17,941,250   ",58.8,"1,048,270   ",5.5
37,Los Angeles County,2016,5,"8,034,531   ","5,008,078   ",62.3,"4,743,151   ",59.0,"264,927   ",5.3
8,Colorado,2016,5,"4,312,234   ","2,885,680   ",66.9,"2,791,195   ",64.7,"94,485   ",3.3
9,Connecticut,2016,5,"2,873,870   ","1,890,682   ",65.8,"1,797,493   ",62.5,"93,189   ",4.9
10,Delaware,2016,5,"753,166   ","468,563   ",62.2,"447,804   ",59.5,"20,759   ",4.4
11,District of Columbia,2016,5,"564,177   ","394,222   ",69.9,"370,141   ",65.6,"24,081   ",6.1
12,Florida,2016,5,"16,571,697   ","9,806,455   ",59.2,"9,327,449   ",56.3,"479,006   ",4.9
13,Georgia,2016,5,"7,870,375   ","4,870,975   ",61.9,"4,606,634   ",58.5,"264,341   ",5.4
15,Hawaii,2016,5,"1,092,967   ","677,630   ",62.0,"657,476   ",60.2,"20,154   ",3.0
16,Idaho,2016,5,"1,270,248   ","811,416   ",63.9,"781,429   ",61.5,"29,987   ",3.7
17,Illinois,2016,5,"10,047,560   ","6,580,544   ",65.5,"6,184,932   ",61.6,"395,612   ",6.0
18,Indiana,2016,5,"5,143,600   ","3,340,290   ",64.9,"3,189,022   ",62.0,"151,268   ",4.5
19,Iowa,2016,5,"2,440,696   ","1,706,702   ",69.9,"1,644,496   ",67.4,"62,206   ",3.6
20,Kansas,2016,5,"2,213,068   ","1,493,780   ",67.5,"1,434,209   ",64.8,"59,571   ",4.0
21,Kentucky,2016,5,"3,457,188   ","2,008,503   ",58.1,"1,909,307   ",55.2,"99,196   ",4.9
22,Louisiana,2016,5,"3,583,030   ","2,129,860   ",59.4,"1,999,764   ",55.8,"130,096   ",6.1
23,Maine,2016,5,"1,093,899   ","693,068   ",63.4,"666,646   ",60.9,"26,422   ",3.8
24,Maryland,2016,5,"4,711,468   ","3,147,271   ",66.8,"3,012,872   ",63.9,"134,399   ",4.3
25,Massachusetts,2016,5,"5,537,771   ","3,609,457   ",65.2,"3,462,973   ",62.5,"146,484   ",4.1
26,Michigan,2016,5,"7,911,815   ","4,843,434   ",61.2,"4,601,766   ",58.2,"241,668   ",5.0
27,Minnesota,2016,5,"4,313,066   ","3,019,912   ",70.0,"2,904,922   ",67.4,"114,990   ",3.8
28,Mississippi,2016,5,"2,284,042   ","1,269,210   ",55.6,"1,193,670   ",52.3,"75,540   ",6.0
29,Missouri,2016,5,"4,752,183   ","3,076,191   ",64.7,"2,935,649   ",61.8,"140,542   ",4.6
30,Montana,2016,5,"822,573   ","521,715   ",63.4,"498,984   ",60.7,"22,731   ",4.4
31,Nebraska,2016,5,"1,450,843   ","1,017,826   ",70.2,"987,002   ",68.0,"30,824   ",3.0
32,Nevada,2016,5,"2,273,098   ","1,410,785   ",62.1,"1,327,774   ",58.4,"83,011   ",5.9
33,New Hampshire,2016,5,"1,096,412   ","752,948   ",68.7,"731,354   ",66.7,"21,594   ",2.9
34,New Jersey,2016,5,"7,026,011   ","4,496,747   ",64.0,"4,271,365   ",60.8,"225,382   ",5.0
35,New Mexico,2016,5,"1,616,617   ","943,841   ",58.4,"880,426   ",54.5,"63,415   ",6.7
36,New York,2016,5,"15,727,177   ","9,523,916   ",60.6,"9,064,157   ",57.6,"459,759   ",4.8
51000,New York city,2016,5,"6,811,203   ","4,076,588   ",59.9,"3,867,127   ",56.8,"209,461   ",5.1
37,North Carolina,2016,5,"7,895,133   ","4,834,712   ",61.2,"4,590,267   ",58.1,"244,445   ",5.1
38,North Dakota,2016,5,"581,027   ","412,193   ",70.9,"398,875   ",68.6,"13,318   ",3.2
